P1: 282, 286;
P2: 365, 313;
P3: 976, 510;
P4: 1016, 796;
P5: 1068, 822;
P6: 805, 1077;
P7: 1648, 1077;
P8: 1723, 1073;
P9: 1916, 774;
P10: 1916, 445;
P11: 1828, 414;
P12: 1815, 313;
P13: 1767, 379;
P14: 1644, 796;
P15: 1433, 713;
P16: 1494, 304;
P17: 1455, 221;
P18: 1433, 427;
P19: 1407, 515;
P20: 1121, 436;
P21: 928, 383;
P22: 792, 348;
P23: 748, 137;
P24: 651, 133;
P25: 752, 106;
P26: 783, 98;
P27: 814, 313;
P28: 901, 273;
P29: 875, 76;
P30: 1007, 45;
P31: 1024, 225;
P32: 1082, 229;
P33: 1077, 207;
P34: 1108, 155;
P35: 1099, 45;
P36: 1578, 67;
P37: 1815, 124;
P38: 1842, 168;
P39: 1798, 155;
P40: 1806, 203;

Nursing Station: P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24;
CSU Miliue: P13,P14,P15,P16;
Sally Port / Entrance: P23,P24,P25;
CSU Miliue2: P12,P17,P18,P19,P20,P21,P22,P23,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40;
Quiet Room: P26,P27,P28,P29
